location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,0,0.61003,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,1,0.76063,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,2,0.82494,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,3,0.87921,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,4,0.90257,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,5,0.92743,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,6,0.93954,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,8,0.96071,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,10,0.97361,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,15,0.9891,cdf,WNV cases
Riverside,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
San Joaquin,2024-09-30,2024-10-31,0,0.76055,cdf,WNV cases
San Joaquin,2024-09-30,2024-10-31,1,0.76055,cdf,WNV cases
San Joaquin,2024-09-30,2024-10-31,2,0.86335,cdf,WNV cases
San Joaquin,2024-09-30,2024-10-31,3,0.91173,cdf,WNV cases
San Joaquin,2024-09-30,2024-10-31,4,0.93969,cdf,WNV cases
San Joaquin,2024-09-30,2024-10-31,5,0.93969,cdf,WNV cases
San Joaquin,2024-09-30,2024-10-31,6,0.95745,cdf,WNV cases
San Joaquin,2024-09-30,2024-10-31,8,0.97758,cdf,WNV cases
San Joaquin,2024-09-30,2024-10-31,10,0.98341,cdf,WNV cases
San Joaquin,2024-09-30,2024-10-31,15,0.99468,cdf,WNV cases
San Joaquin,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
San Bernardino,2024-09-30,2024-10-31,0,0.6554,cdf,WNV cases
San Bernardino,2024-09-30,2024-10-31,1,0.81083,cdf,WNV cases
San Bernardino,2024-09-30,2024-10-31,2,0.87316,cdf,WNV cases
San Bernardino,2024-09-30,2024-10-31,3,0.90919,cdf,WNV cases
San Bernardino,2024-09-30,2024-10-31,4,0.93279,cdf,WNV cases
San Bernardino,2024-09-30,2024-10-31,5,0.94911,cdf,WNV cases
San Bernardino,2024-09-30,2024-10-31,6,0.96549,cdf,WNV cases
San Bernardino,2024-09-30,2024-10-31,8,0.97879,cdf,WNV cases
San Bernardino,2024-09-30,2024-10-31,10,0.98656,cdf,WNV cases
San Bernardino,2024-09-30,2024-10-31,15,0.99591,cdf,WNV cases
San Bernardino,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
Stanislaus,2024-09-30,2024-10-31,0,0.79767,cdf,WNV cases
Stanislaus,2024-09-30,2024-10-31,1,0.79767,cdf,WNV cases
Stanislaus,2024-09-30,2024-10-31,2,0.89674,cdf,WNV cases
Stanislaus,2024-09-30,2024-10-31,3,0.89674,cdf,WNV cases
Stanislaus,2024-09-30,2024-10-31,4,0.9395,cdf,WNV cases
Stanislaus,2024-09-30,2024-10-31,5,0.9395,cdf,WNV cases
Stanislaus,2024-09-30,2024-10-31,6,0.96242,cdf,WNV cases
Stanislaus,2024-09-30,2024-10-31,8,0.9758,cdf,WNV cases
Stanislaus,2024-09-30,2024-10-31,10,0.98407,cdf,WNV cases
Stanislaus,2024-09-30,2024-10-31,15,0.99504,cdf,WNV cases
Stanislaus,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
Solano,2024-09-30,2024-10-31,0,0.83448,cdf,WNV cases
Solano,2024-09-30,2024-10-31,1,0.83448,cdf,WNV cases
Solano,2024-09-30,2024-10-31,2,0.83448,cdf,WNV cases
Solano,2024-09-30,2024-10-31,3,0.92692,cdf,WNV cases
Solano,2024-09-30,2024-10-31,4,0.92692,cdf,WNV cases
Solano,2024-09-30,2024-10-31,5,0.9624,cdf,WNV cases
Solano,2024-09-30,2024-10-31,6,0.9624,cdf,WNV cases
Solano,2024-09-30,2024-10-31,8,0.97939,cdf,WNV cases
Solano,2024-09-30,2024-10-31,10,0.9882,cdf,WNV cases
Solano,2024-09-30,2024-10-31,15,0.99594,cdf,WNV cases
Solano,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
