location,origin_date,target_date,output_type_id,value,output_type,target
Merced,2024-11-30,2024-12-31,0,0.87258,cdf,WNV cases
Merced,2024-11-30,2024-12-31,1,0.87258,cdf,WNV cases
Merced,2024-11-30,2024-12-31,2,0.87258,cdf,WNV cases
Merced,2024-11-30,2024-12-31,3,0.87258,cdf,WNV cases
Merced,2024-11-30,2024-12-31,4,0.95389,cdf,WNV cases
Merced,2024-11-30,2024-12-31,5,0.95389,cdf,WNV cases
Merced,2024-11-30,2024-12-31,6,0.95389,cdf,WNV cases
Merced,2024-11-30,2024-12-31,8,0.98034,cdf,WNV cases
Merced,2024-11-30,2024-12-31,10,0.98034,cdf,WNV cases
Merced,2024-11-30,2024-12-31,15,0.99569,cdf,WNV cases
Merced,2024-11-30,2024-12-31,200,1.0,cdf,WNV cases
Placer,2024-11-30,2024-12-31,0,0.84145,cdf,WNV cases
Placer,2024-11-30,2024-12-31,1,0.84145,cdf,WNV cases
Placer,2024-11-30,2024-12-31,2,0.84145,cdf,WNV cases
Placer,2024-11-30,2024-12-31,3,0.93218,cdf,WNV cases
Placer,2024-11-30,2024-12-31,4,0.93218,cdf,WNV cases
Placer,2024-11-30,2024-12-31,5,0.96618,cdf,WNV cases
Placer,2024-11-30,2024-12-31,6,0.96618,cdf,WNV cases
Placer,2024-11-30,2024-12-31,8,0.98196,cdf,WNV cases
Placer,2024-11-30,2024-12-31,10,0.99002,cdf,WNV cases
Placer,2024-11-30,2024-12-31,15,0.99671,cdf,WNV cases
Placer,2024-11-30,2024-12-31,200,1.0,cdf,WNV cases
Fresno,2024-11-30,2024-12-31,0,0.75255,cdf,WNV cases
Fresno,2024-11-30,2024-12-31,1,0.85567,cdf,WNV cases
Fresno,2024-11-30,2024-12-31,2,0.90483,cdf,WNV cases
Fresno,2024-11-30,2024-12-31,3,0.93373,cdf,WNV cases
Fresno,2024-11-30,2024-12-31,4,0.95244,cdf,WNV cases
Fresno,2024-11-30,2024-12-31,5,0.9652,cdf,WNV cases
Fresno,2024-11-30,2024-12-31,6,0.97409,cdf,WNV cases
Fresno,2024-11-30,2024-12-31,8,0.98525,cdf,WNV cases
Fresno,2024-11-30,2024-12-31,10,0.99134,cdf,WNV cases
Fresno,2024-11-30,2024-12-31,15,0.99754,cdf,WNV cases
Fresno,2024-11-30,2024-12-31,200,1.0,cdf,WNV cases
Riverside,2024-11-30,2024-12-31,0,0.66172,cdf,WNV cases
Riverside,2024-11-30,2024-12-31,1,0.81767,cdf,WNV cases
Riverside,2024-11-30,2024-12-31,2,0.87945,cdf,WNV cases
Riverside,2024-11-30,2024-12-31,3,0.9273,cdf,WNV cases
Riverside,2024-11-30,2024-12-31,4,0.94615,cdf,WNV cases
Riverside,2024-11-30,2024-12-31,5,0.96452,cdf,WNV cases
Riverside,2024-11-30,2024-12-31,6,0.97269,cdf,WNV cases
Riverside,2024-11-30,2024-12-31,8,0.98529,cdf,WNV cases
Riverside,2024-11-30,2024-12-31,10,0.99178,cdf,WNV cases
Riverside,2024-11-30,2024-12-31,15,0.9978,cdf,WNV cases
Riverside,2024-11-30,2024-12-31,200,1.0,cdf,WNV cases
San Joaquin,2024-11-30,2024-12-31,0,0.77831,cdf,WNV cases
San Joaquin,2024-11-30,2024-12-31,1,0.77831,cdf,WNV cases
San Joaquin,2024-11-30,2024-12-31,2,0.87975,cdf,WNV cases
San Joaquin,2024-11-30,2024-12-31,3,0.92546,cdf,WNV cases
San Joaquin,2024-11-30,2024-12-31,4,0.95112,cdf,WNV cases
San Joaquin,2024-11-30,2024-12-31,5,0.95112,cdf,WNV cases
San Joaquin,2024-11-30,2024-12-31,6,0.9668,cdf,WNV cases
San Joaquin,2024-11-30,2024-12-31,8,0.98387,cdf,WNV cases
